"date","c		","a","y","cay","cay^MS"
"1973:02",9.7243534014,11.4313629987,9.5547820307,-0.03762538,-0.016549023
"1973:03",9.7280649879,11.4465855371,9.553237274,-0.034602896,-0.015852936
"1973:04",9.7257979572,11.4147142584,9.5556367041,-0.034774729,-0.011292563
"1974:01",9.7166213387,11.3895835762,9.5423217423,-0.030414628,-0.005724891
"1974:02",9.7189918456,11.3585547251,9.5388732677,-0.021483566,0.006853278
"1974:03",9.7220658346,11.3185208194,9.5375062773,-0.012353941,0.021200007
"1974:04",9.7217300509,11.3180208251,9.5325062577,-0.00871978,0.024072337
"1975:01",9.7238355127,11.347541042,9.5296135231,-0.008031097,0.02026665
"1975:02",9.7361306961,11.3773512918,9.5752368639,-0.035105515,-0.003289661
"1975:03",9.7391752432,11.3512825119,9.5580667666,-0.015394485,0.017116684
"1975:04",9.7442090557,11.3588494275,9.5640687156,-0.015994028,0.016480509
"1976:01",9.7571428291,11.3807108387,9.5763715323,-0.015398679,0.013245701
"1976:02",9.7656032542,11.4015430564,9.578663571,-0.011324757,-0.019982987
"1976:03",9.7732444587,11.4010082247,9.5838916788,-0.00770284,-0.015506238
"1976:04",9.7831767828,11.4070901959,9.5870744316,-0.0010156,-0.009117903
"1977:01",9.7884262697,11.4051148342,9.5865162461,0.004916209,-0.003010112
"1977:02",9.7870482326,11.4150627756,9.5949110153,-0.004261861,-0.012147699
"1977:03",9.7922785915,11.4171704731,9.6067867644,-0.008575307,-0.014776755
"1977:04",9.8005642463,11.4213565487,9.6161474593,-0.008126789,-0.01334397
"1978:01",9.8098237253,11.4273702576,9.6203061253,-0.002866594,-0.008211391
"1978:02",9.817504384,11.4406247303,9.6280985512,-0.002927137,-0.008781081
"1978:03",9.821308085,11.4520223076,9.6341246089,-0.005252845,-0.011656572
"1978:04",9.8251811742,11.4520335238,9.640568242,-0.006417035,-0.011752877
"1979:01",9.8312967781,11.4700951139,9.6448990454,-0.005936131,-0.013009306
"1979:02",9.831627148,11.4739679548,9.6355966189,0.001181883,-0.007961802
"1979:03",9.833468472,11.4795625535,9.6400044705,-0.001118611,-0.01029153
"1979:04",9.83785076,11.481630709,9.6394771288,0.003418165,-0.006123509
"1980:01",9.8362836163,11.4705199448,9.637798572,0.004547004,-0.003762363
"1980:02",9.8240532778,11.481728748,9.6245523478,0.00127261,-0.010759135
"1980:03",9.825702889,11.4961343923,9.6337354157,-0.006049216,-0.018515856
"1980:04",9.8329742137,11.5013594142,9.6393700984,-0.003832472,-0.016074689
"1981:01",9.831069921,11.4938924438,9.6316551898,0.001222867,-0.011284352
"1981:02",9.8344386301,11.5018288323,9.6280852873,0.006392866,-0.00778602
"1981:03",9.831122368,11.4899039769,9.63670763,-0.002176442,-0.013301256
"1981:04",9.8308050516,11.4966808053,9.6370732479,-0.003623734,-0.015610112
"1982:01",9.8313283194,11.4923059081,9.6346449293,-0.000657656,-0.012452457
"1982:02",9.8342664609,11.4923307943,9.6358614306,0.001326655,-0.010269545
"1982:03",9.8386803507,11.4927756728,9.6410388358,0.001638834,-0.009159027
"1982:04",9.8502913074,11.505099859,9.6424073985,0.010644913,-0.001601873
"1983:01",9.8579702123,11.5245577199,9.6461560469,0.012970146,-0.001300461
"1983:02",9.8668059275,11.5369454004,9.653410971,0.014592714,-0.000158364
"1983:03",9.8788942694,11.5319229426,9.6611857989,0.021230489,0.008452725
"1983:04",9.8854615582,11.5293515103,9.6763057776,0.016301425,0.006382706
"1984:01",9.8867329917,11.5364061357,9.6871797243,0.008195718,-0.000877636
"1984:02",9.8960841535,11.5417110982,9.6969102355,0.009281334,0.001101503
"1984:03",9.9041466354,11.5553731041,9.7040071234,0.010095428,0.001235609
"1984:04",9.911302877,11.5639366798,9.7126300169,0.009445811,0.00085257
"1985:01",9.9238943399,11.5795468207,9.7074978924,0.024103514,0.012535795
"1985:02",9.9303780964,11.5923104619,9.726280309,0.014318225,0.004132057
"1985:03",9.9396714641,11.5938113447,9.7246084187,0.024731248,0.01406351
"1985:04",9.9456005491,11.6223144281,9.7338710872,0.019870473,0.006864037
"1986:01",9.9489024533,11.6454742619,9.7424267659,0.013600694,-0.001135177
"1986:02",9.9523769678,11.6699820842,9.7530094934,0.005751401,-0.010560794
"1986:03",9.9569620923,11.6712187029,9.7594356981,0.00516021,-0.010253627
"1986:04",9.9655153244,11.6939596128,9.7643105775,0.007070596,-0.010626589
"1987:01",9.9736934157,11.7199933168,9.7708335692,0.00690759,-0.013247184
"1987:02",9.9813513209,11.7270395736,9.7605044872,0.021760166,-0.001067042
"1987:03",9.9849024448,11.737856758,9.7725740145,0.014531042,-0.007764025
"1987:04",9.9905245605,11.7156931629,9.7818475348,0.015666707,-0.002075394
"1988:01",10.0013408069,11.7319778921,9.7917317208,0.016729483,-0.001586665
"1988:02",10.0086855857,11.7432529185,9.8021431508,0.014532827,-0.003588624
"1988:03",10.0174781565,11.7438846561,9.8049081551,0.021085768,0.003337302
"1988:04",10.0231596329,11.7523190562,9.8110182074,0.020941335,0.003059973
"1989:01",10.0274080304,11.7610239437,9.813479416,0.022181801,0.003525184
"1989:02",10.0278144272,11.767457312,9.8081386619,0.025960701,0.005542876
