 3 73 2.475500 0.220300  0.003752 2.458357 0.221151  0.003840
 4 73 2.486900 0.218700  0.003763 2.473906 0.219171  0.003782
 5 73 2.572000 0.230500  0.003788 2.562098 0.230973  0.003843
 6 73 2.582500 0.241000  0.003805 2.571008 0.241259  0.003886
 7 73 2.507200 0.242400  0.003772 2.488521 0.243514  0.003919
 8 73 2.458500 0.231800  0.003769 2.431149 0.232900  0.003820
 9 73 2.413000 0.235400  0.003765 2.385130 0.234013  0.003780
10 73 2.435000 0.236900  0.003623 2.411320 0.235464  0.003555
11 73 2.342100 0.222500  0.003571 2.309603 0.221680  0.003430
12 73 2.318100 0.212700  0.003565 2.279909 0.211658  0.003296
 1 74 2.271000 0.199100  0.003347 2.212068 0.194800  0.003247
 2 74 2.282200 0.205300  0.003420 2.217728 0.198717  0.003236
 3 74 2.392500 0.209500  0.003620 2.338489 0.205286  0.003377
 4 74 2.421000 0.202200  0.003570 2.386017 0.200025  0.003510
 5 74 2.397500 0.203600  0.003548 2.379279 0.201719  0.003532
 6 74 2.390000 0.206900  0.003519 2.374047 0.204331  0.003520
 7 74 2.385000 0.213300  0.003333 2.375520 0.210148  0.003348
 8 74 2.315500 0.207300  0.003300 2.303228 0.204539  0.003292
 9 74 2.328000 0.210000  0.003370 2.306524 0.206846  0.003351
10 74 2.340000 0.213300  0.003327 2.315021 0.210729  0.003308
11 74 2.325500 0.215800  0.003331 2.297013 0.211010  0.003303
12 74 2.341000 0.225700  0.003326 2.291488 0.220615  0.003296
 1 75 2.381000 0.231500  0.003357 2.349511 0.228828  0.003352
 2 75 2.430500 0.239900  0.003489 2.391977 0.238410  0.003482
 3 75 2.408500 0.237500  0.003417 2.377190 0.236007  0.003412
 4 75 2.335000 0.241300  0.003444 2.298224 0.239314  0.003451
 5 75 2.316000 0.247400  0.003430 2.286008 0.246206  0.003425
 6 75 2.219000 0.248300  0.003380 2.202746 0.245976  0.003380
 7 75 2.150000 0.228700  0.003363 2.124684 0.227014  0.003364
 8 75 2.110000 0.227500  0.003354 2.092698 0.227398  0.003337
 9 75 2.037500 0.222300  0.003299 2.018806 0.222601  0.003251
10 75 2.077500 0.230300  0.003314 2.051895 0.230001  0.003301
