11 79 2.201000 0.245900 0.004007 2.196506 0.246150 0.004027
12 79 2.234000 0.248750 0.004162 2.229402 0.248800 0.004183
 1 80 2.275500 0.244900 0.004159 2.267991 0.245200 0.004179
 2 80 2.274500 0.240400 0.003984 2.270008 0.241051 0.004006
 3 80 2.170000 0.225100 0.004008 2.170995 0.226256 0.004018
 4 80 2.256000 0.235150 0.004163 2.248010 0.235350 0.004169
 5 80 2.340000 0.241500 0.004484 2.326994 0.241201 0.004472
 6 80 2.348500 0.244000 0.004591 2.332491 0.243351 0.004576
 7 80 2.332000 0.240700 0.004401 2.318494 0.240402 0.004392
 8 80 2.395500 0.240050 0.004555 2.384002 0.239950 0.004552
 9 80 2.389000 0.238100 0.004819 2.384302 0.238501 0.004831
10 80 2.435500 0.228050 0.004730 2.431502 0.228903 0.004749
11 80 2.358500 0.223700 0.004615 2.369408 0.225390 0.004651
12 80 2.388000 0.218579 0.004946 2.400995 0.220449 0.005002
 1 81 2.375500 0.205212 0.004855 2.381993 0.206371 0.004890
 2 81 2.199000 0.199203 0.004760 2.204607 0.199842 0.004789
 3 81 2.204000 0.199760 0.004671 2.208004 0.199880 0.004700
 4 81 2.138500 0.189934 0.004622 2.147802 0.190606 0.004667
 5 81 2.070000 0.183486 0.004465 2.079798 0.182504 0.004505
 6 81 1.893500 0.174216 0.004380 1.905997 0.173763 0.004429
 7 81 1.863000 0.171762 0.004182 1.870002 0.171176 0.004224
 8 81 1.845500 0.169635 0.004351 1.852005 0.167530 0.004391
 9 81 1.833500 0.182482 0.004333 1.834600 0.179893 0.004368
10 81 1.851000 0.176835 0.004292 1.849797 0.176695 0.004323
11 81 1.958000 0.178317 0.004642 1.951995 0.177561 0.004660
12 81 1.907500 0.175208 0.004556 1.905100 0.174963 0.004587
 1 82 1.886800 0.170358 0.004386 1.886407 0.170242 0.004415
 2 82 1.818500 0.164609 0.004225 1.820000 0.164595 0.004257
 3 82 1.790000 0.160192 0.004058 1.793505 0.158682 0.004087
 4 82 1.797000 0.164338 0.004246 1.800100 0.163602 0.004278
 5 82 1.792500 0.163399 0.004112 1.794591 0.161508 0.004139
 6 82 1.735500 0.146284 0.003914 1.739795 0.146327 0.003944
 7 82 1.738500 0.146413 0.003906 1.739601 0.146072 0.003925
 8 82 1.737000 0.144300 0.003903 1.737593 0.143630 0.003917
 9 82 1.696300 0.140193 0.003722 1.697403 0.139705 0.003736
10 82 1.676000 0.138064 0.003604 1.676196 0.136939 0.003614
11 82 1.641000 0.144823 0.004045 1.640002 0.143789 0.004053
12 82 1.614500 0.148588 0.004261 1.613195 0.146862 0.004273
 1 83 1.538300 0.144875 0.004225 1.535698 0.144200 0.004235
 2 83 1.526000 0.146071 0.004255 1.523139 0.144506 0.004264
 3 83 1.483000 0.137410 0.004185 1.481604 0.137072 0.004196
 4 83 1.561300 0.135639 0.004212 1.559700 0.135246 0.004223
 5 83 1.560800 0.130873 0.004189 1.559694 0.130533 0.004199
 6 83 1.534700 0.131320 0.004191 1.534994 0.131063 0.004202
 7 83 1.520800 0.125660 0.004134 1.521497 0.125439 0.004147
 8 83 1.494800 0.123031 0.004052 1.495498 0.122737 0.004063
 9 83 1.496000 0.124906 0.004240 1.496000 0.124596 0.004250
10 83 1.495000 0.125439 0.004298 1.495698 0.125165 0.004310
11 83 1.458500 0.121684 0.004299 1.459594 0.121441 0.004311
12 83 1.450500 0.119976 0.004320 1.451503 0.119726 0.004334
 1 84 1.427000 0.118483 0.004293 1.427702 0.118072 0.004305
 2 84 1.483500 0.125628 0.004294 1.484699 0.125065 0.004306
 3 84 1.440300 0.125313 0.004458 1.442592 0.125078 0.004475
 4 84 1.403500 0.120809 0.004424 1.406190 0.120692 0.004442
 5 84 1.394500 0.120373 0.004337 1.396592 0.120363 0.004354
 6 84 1.352500 0.117096 0.004219 1.356084 0.117103 0.004240
 7 84 1.323000 0.112994 0.004117 1.322603 0.112969 0.004136
 8 84 1.310700 0.112867 0.004141 1.312000 0.112956 0.004160
 9 84 1.241000 0.106838 0.004070 1.241703 0.106833 0.004087
10 84 1.254000 0.110650 0.004138 1.253404 0.110601 0.004150
11 84 1.201500 0.105652 0.004050 1.200899 0.105502 0.004058
12 84 1.164000 0.104058 0.003998 1.163098 0.103874 0.004007
 1 85 1.128000 0.103119 0.003902 1.124390 0.102981 0.003910
 2 85 1.071500 0.097656 0.003828 1.066473 0.097561 0.003837
 3 85 1.242000 0.106724 0.003984 1.237280 0.106565 0.003993
 4 85 1.209500 0.102617 0.003949 1.205085 0.102465 0.003957
 5 85 1.272300 0.106298 0.003971 1.267179 0.106084 0.003976
 6 85 1.306000 0.108108 0.004020 1.300580 0.107852 0.004026
 7 85 1.365000 0.116178 0.004213 1.360689 0.115842 0.004219
 8 85 1.399700 0.117716 0.004222 1.395081 0.117557 0.004228
 9 85 1.406000 0.122549 0.004566 1.401384 0.122339 0.004572
10 85 1.436000 0.125589 0.004768 1.431584 0.125458 0.004770
11 85 1.491000 0.130719 0.004958 1.486589 0.130583 0.004957
12 85 1.438500 0.132275 0.004944 1.434089 0.131970 0.004949
 1 86 1.412500 0.136659 0.005187 1.407380 0.135966 0.005195
 2 86 1.462000 0.146843 0.005566 1.455969 0.145990 0.005574
 3 86 1.482000 0.139762 0.005574 1.476578 0.138986 0.005585
 4 86 1.518500 0.142450 0.005903 1.513185 0.142339 0.005916
 5 86 1.471500 0.135318 0.005736 1.467490 0.135282 0.005748
 6 86 1.545000 0.144300 0.006202 1.540687 0.144259 0.006216
 7 86 1.490000 0.147384 0.006496 1.485381 0.147287 0.006506
 8 86 1.486500 0.150037 0.006468 1.481186 0.149868 0.006474
 9 86 1.439700 0.152952 0.006504 1.433977 0.152534 0.006512
10 86 1.407000 0.148699 0.006124 1.401079 0.148522 0.006133
11 86 1.436000 0.154559 0.006209 1.430172 0.154380 0.006219
12 86 1.492000 0.157604 0.006325 1.486181 0.156940 0.006337
 1 87 1.510500 0.163934 0.006529 1.504697 0.163634 0.006538
 2 87 1.548500 0.164420 0.006527 1.542396 0.164141 0.006533
 3 87 1.613500 0.165769 0.006868 1.608781 0.165550 0.006884
 4 87 1.669500 0.168209 0.007122 1.665785 0.168040 0.007143
 5 87 1.628000 0.164677 0.006954 1.625490 0.164563 0.006974
 6 87 1.609000 0.163465 0.006738 1.605688 0.163313 0.006758
 7 87 1.591500 0.161616 0.006678 1.588304 0.161480 0.006697
 8 87 1.627800 0.165017 0.007022 1.623907 0.164777 0.007042
 9 87 1.623000 0.163199 0.006840 1.619700 0.163199 0.006862
10 87 1.721500 0.170358 0.007236 1.718200 0.170069 0.007255
11 87 1.807000 0.177384 0.007477 1.805103 0.177227 0.007502
12 87 1.884000 0.187441 0.008258 1.882006 0.187213 0.008281
 1 88 1.768500 0.177069 0.007834 1.765906 0.176975 0.007852
 2 88 1.771900 0.175107 0.007802 1.768400 0.175046 0.007820
 3 88 1.887500 0.178094 0.008053 1.885204 0.177974 0.008075
 4 88 1.884500 0.176305 0.008001 1.883102 0.176166 0.008025
 5 88 1.798500 0.171600 0.007947 1.797796 0.171630 0.007972
 6 88 1.699500 0.162840 0.007450 1.697107 0.162920 0.007474
 7 88 1.716000 0.158856 0.007536 1.712797 0.158990 0.007562
 8 88 1.671000 0.157654 0.007303 1.665903 0.157743 0.007323
 9 88 1.687000 0.156421 0.007435 1.682403 0.156507 0.007459
10 88 1.764000 0.164000 0.007926 1.759002 0.164075 0.007954
11 88 1.859500 0.169300 0.008241 1.854200 0.169525 0.008277
12 88 1.808000 0.165300 0.008000 1.802395 0.165409 0.008034
 1 89 1.747000 0.156600 0.007743 1.742298 0.156661 0.007774
 2 89 1.724200 0.159700 0.007813 1.720105 0.159828 0.007849
 3 89 1.685500 0.156300 0.007536 1.682003 0.156496 0.007577
 4 89 1.686500 0.157200 0.007523 1.682396 0.157373 0.007558
 5 89 1.586000 0.149900 0.007052 1.580779 0.150024 0.007081
 6 89 1.554000 0.151200 0.006966 1.547901 0.151223 0.006993
 7 89 1.658000 0.158000 0.007194 1.651396 0.157983 0.007217
 8 89 1.565500 0.150500 0.006885 1.559199 0.150489 0.006905
 9 89 1.622500 0.157900 0.007180 1.615402 0.157833 0.007205
10 89 1.571800 0.159900 0.006983 1.563797 0.159683 0.006998
11 89 1.565000 0.164300 0.006983 1.556797 0.164072 0.006996
12 89 1.612000 0.172900 0.006964 1.602503 0.172498 0.006976
 1 90 1.681300 0.174800 0.006882 1.672795 0.174496 0.006891
 2 90 1.655000 0.172200 0.006682 1.645801 0.171902 0.006689
 3 90 1.646500 0.175200 0.006333 1.638007 0.174949 0.006340
 4 90 1.632000 0.177100 0.006287 1.623201 0.176930 0.006295
 5 90 1.685000 0.176100 0.006622 1.675803 0.175863 0.006628
 6 90 1.745500 0.178800 0.006568 1.736002 0.178563 0.006573
 7 90 1.857000 0.187700 0.006697 1.846400 0.187430 0.006701
 8 90 1.892000 0.189600 0.006975 1.881405 0.189318 0.006975
 9 90 1.872000 0.191000 0.007241 1.861704 0.190727 0.007242
10 90 1.949500 0.198000 0.007755 1.940094 0.197703 0.007756
11 90 1.941000 0.196900 0.007502 1.932702 0.196721 0.007505
12 90 1.917000 0.196100 0.007410 1.906393 0.195744 0.007409
 1 91 1.975500 0.200400 0.007602 1.964602 0.199905 0.007595
 2 91 1.901000 0.191100 0.007438 1.891305 0.190733 0.007429
 3 91 1.737000 0.173000 0.007077 1.728098 0.172557 0.007068
 4 91 1.702500 0.169900 0.007210 1.693505 0.169441 0.007197
 5 91 1.711000 0.170900 0.007244 1.703201 0.170394 0.007233
 6 91 1.623500 0.162900 0.007267 1.616194 0.162388 0.007257
 7 91 1.688500 0.168900 0.007305 1.681394 0.168370 0.007296
 8 91 1.683500 0.169100 0.007310 1.676401 0.168614 0.007299
 9 91 1.737000 0.174600 0.007491 1.729705 0.173974 0.007483
10 91 1.740000 0.176200 0.007680 1.732257 0.175615 0.007673
11 91 1.761700 0.180100 0.007698 1.753802 0.179396 0.007690
12 91 1.855500 0.190100 0.008010 1.845604 0.189134 0.008001
 1 92 1.787000 0.182500 0.007984 1.777797 0.181639 0.007976
 2 92 1.761000 0.180000 0.007743 1.751799 0.179115 0.007735
 3 92 1.743500 0.181300 0.007492 1.734405 0.180428 0.007489
 4 92 1.779300 0.180100 0.007513 1.769202 0.179159 0.007508
 5 92 1.831500 0.185300 0.007834 1.822495 0.184383 0.007829
 6 92 1.911000 0.196600 0.008019 1.900904 0.195526 0.008013
 7 92 1.919000 0.200400 0.007852 1.908094 0.199241 0.007847
 8 92 1.983000 0.208600 0.008103 1.971895 0.207418 0.008098
